Jalandhar,4086,6403,1187,4722,3381,2178,2965,4237,2749,5521,2647,1538,5697,5755,1916,5141.503363967489,9662,4017,2164,2444,78410.5033639675,True,Airtel Broadband
Deventer,1801,1675,430,1232,1251,1690,2283,1532,3296,1493,1503,974,2234,1905,770,4043,1218,1363,774,474,31941,False,SOLCON
Champaign-Urbana,2285,2490,837,3547,2100,3957,2156,4540,5350,3642,2384,1904,4312,3879,1987,4153,1936,3373,2931,1404,59167,True,AT&T U-verse
Champaign-Urbana,1792,3605,605,3550,1813,3703,2527,2136,4720,3642,1786,1299,3046,2087,993,3431,1349,2291,2391,843,47609,True,AT&T U-verse
Champaign-Urbana,2593,2333,781,11506,1913,3943,2611,2498,4198,3364,2687,1463,2513,2687,1449,4299,1699,2853,2431,1574,59395,False,AT&T U-verse
Champaign-Urbana,1878,7924,743,3679,2221,3415,2052,2383,4846,3642,1920,1553,3697,2993,1210,5221,1683,4517,2351,1308,59236,True,AT&T U-verse
Los Angeles,3104,2865,1318,5650,12963,10331,2348,3807,8704,7469,2409,2921,3507,10128,8850,4345,1867,12447,3441,8192,116666,True,Los Nettos
Champaign-Urbana,2305,2376,669,4350,2597,3224,2265,3963,4972,3642,2281,1665,3014,4014,1414,4118,1789,2647,2715,1359,55379,True,AT&T U-verse
Mumbai,6830,9652,1828,13932,4509,8506,5108,11708,4195,5458,7424,4325,6709,10288,8420,4574,5814,9532,8118,5988,142918,True,Tata Teleservices (Maharashtra) Ltd
Champaign-Urbana,1255,2259,783,3222,1210,3176,1692,2397,2535,3271,1797,1726,2444,2376,1637,4273,1603,2773,1780,1527,43736,False,University of Illinois
Mountain View,1718,2480,387,3205,1535,1865,1022,2975,1912,2225,1566,1669,1636,1565,899,2883,1415,2244,3175,1241,37617,False,Comcast Cable
Chandigarh,2271,2796,8877,4160,2832,7450,11040,3199,4198,3642,2145,9416,11329,2882,6071,8795,11167,3328,3133,4172,112903,True,Airtel Broadband
Los Angeles,3053,2865,1855,5650,8788,3707,2362,3807,4195,3642,4288,5220,8947,2882,14902,4345,1867,4054,8417,2235,97081,True,Los Nettos
